id,name,type,sub_type,refresh,title,top_rewards,percentage_rewards,out_rewards,visable_rank,score_rewards,ranking_onlist_number,visable_count,rank_list_num,begin_show_time,end_show_time,prize_preview
136,rank-20000136,114,1709,test,rank-10000136,,,,100,,160000,100,0,,,
137,rank-20000137,114,1710,test,rank-10000137,,,,100,,160000,100,0,,,
138,rank-20000138,113,1711,test,rank-10000138,,,,100,,160000,100,0,,,
139,rank-20000139,113,1712,test,rank-10000139,,,,100,,160000,100,0,,,
140,rank-20000140,113,1713,test,rank-10000140,,,,100,,160000,100,0,,,
141,rank-20000141,114,1711,test,rank-10000141,,,,100,,160000,100,0,,,
142,rank-20000142,114,1712,test,rank-10000142,,,,100,,160000,100,0,,,
143,rank-20000143,114,1713,test,rank-10000143,,,,100,,160000,100,0,,,
144,rank-20000144,113,1715,test,rank-10000144,,,,100,,160000,100,0,,,
145,rank-20000145,114,1715,test,rank-10000145,,,,100,,160000,100,0,,,
146,rank-20000146,113,1716,test,rank-10000146,,,,100,,160000,100,0,,,
147,rank-20000147,113,1717,test,rank-10000147,,,,100,,160000,100,0,,,
148,rank-20000148,113,1718,test,rank-10000148,,,,100,,160000,100,0,,,
149,rank-20000149,114,1716,test,rank-10000149,,,,100,,160000,100,0,,,
150,rank-20000150,114,1717,test,rank-10000150,,,,100,,160000,100,0,,,
151,rank-20000151,114,1718,test,rank-10000151,,,,100,,160000,100,0,,,
152,rank-20000152,113,1719,test,rank-10000152,,,,100,,160000,100,0,,,
153,rank-20000153,114,1719,test,rank-10000153,,,,100,,160000,100,0,,,
154,rank-20000154,113,1720,test,rank-10000154,,,,100,,160000,100,0,,,
155,rank-20000155,113,1721,test,rank-10000155,,,,100,,160000,100,0,,,
156,rank-20000156,113,1722,test,rank-10000156,,,,100,,160000,100,0,,,
157,rank-20000157,114,1720,test,rank-10000157,,,,100,,160000,100,0,,,
158,rank-20000158,114,1721,test,rank-10000158,,,,100,,160000,100,0,,,
159,rank-20000159,114,1722,test,rank-10000159,,,,100,,160000,100,0,,,
160,rank-20000160,113,1723,test,rank-10000160,,,,100,,160000,100,0,,,
161,rank-20000161,114,1723,test,rank-10000161,,,,100,,160000,100,0,,,
162,rank-20000162,8,0,test,rank-10000162,,,,100,,20000,100,0,,,
163,rank-20000163,113,1724,test,rank-10000163,,,,100,,160000,100,0,,,
164,rank-20000164,113,1725,test,rank-10000164,,,,100,,160000,100,0,,,
165,rank-20000165,113,1726,test,rank-10000165,,,,100,,160000,100,0,,,
166,rank-20000166,114,1724,test,rank-10000166,,,,100,,160000,100,0,,,
167,rank-20000167,114,1725,test,rank-10000167,,,,100,,160000,100,0,,,
168,rank-20000168,114,1726,test,rank-10000168,,,,100,,160000,100,0,,,
169,rank-20000169,113,1727,test,rank-10000169,,,,100,,160000,100,0,,,
170,rank-20000170,113,1728,test,rank-10000170,,,,100,,160000,100,0,,,
171,rank-20000171,113,1729,test,rank-10000171,,,,100,,160000,100,0,,,
172,rank-20000172,114,1727,test,rank-10000172,,,,100,,160000,100,0,,,
173,rank-20000173,114,1728,test,rank-10000173,,,,100,,160000,100,0,,,
174,rank-20000174,114,1729,test,rank-10000174,,,,100,,160000,100,0,,,
175,rank-20000175,113,1730,test,rank-10000175,,,,100,,160000,100,0,,,
176,rank-20000176,114,1730,test,rank-10000176,,,,100,,160000,100,0,,,
177,rank-20000177,9,0,test,rank-10000177,,,,100,,160000,100,0,,,
178,rank-20000178,113,1731,test,rank-10000178,,,,100,,160000,100,0,,,
179,rank-20000179,113,1732,test,rank-10000179,,,,100,,160000,100,0,,,
180,rank-20000180,113,1733,test,rank-10000180,,,,100,,160000,100,0,,,
181,rank-20000181,114,1731,test,rank-10000181,,,,100,,160000,100,0,,,
182,rank-20000182,114,1732,test,rank-10000182,,,,100,,160000,100,0,,,
183,rank-20000183,114,1733,test,rank-10000183,,,,100,,160000,100,0,,,
184,rank-20000184,113,1734,test,rank-10000184,,,,100,,160000,100,0,,,
185,rank-20000185,113,1735,test,rank-10000185,,,,100,,160000,100,0,,,
186,rank-20000186,113,1736,test,rank-10000186,,,,100,,160000,100,0,,,
187,rank-20000187,114,1734,test,rank-10000187,,,,100,,160000,100,0,,,
188,rank-20000188,114,1735,test,rank-10000188,,,,100,,160000,100,0,,,
189,rank-20000189,114,1736,test,rank-10000189,,,,100,,160000,100,0,,,
190,rank-20000190,113,1737,test,rank-10000190,,,,100,,160000,100,0,,,
191,rank-20000191,113,1738,test,rank-10000191,,,,100,,160000,100,0,,,
192,rank-20000192,114,1737,test,rank-10000192,,,,100,,160000,100,0,,,
193,rank-20000193,114,1738,test,rank-10000193,,,,100,,160000,100,0,,,
