id,type,name,enemy_info,code,maxlife,pow,hit,dodge,range,speed,number,angle,armor_piercing,armor,shield,rate,boss_hp,def,def_break,debuff_resistance,level,character,special_attack,normal_attack,passive_skill,effect_ratio,unable_buff_type,able_buff_id,voice,deployment_scale,recommend_description,hit_point,offset,lifebar_offset,enemy_illustration_id,location_offset
10024,3,enemy_character_type-20010024,独眼巨人(步枪型）,Cyclops,476,13,23,15,6,30,1,180,0,0,0,30,0,99999,0,0,100,enemy_character_type-10010024,0,300301,"700101,402605",1,,,,1,enemy_character_type-30010024,,,,37,
10025,5,enemy_character_type-20010025,独眼巨人(霰弹型）,Cyclops_SG,595,11,23,15,4,30,1,180,0,0,0,30,0,99999,0,0,100,enemy_character_type-10010025,0,300301,"700101,402605",1,,,,1,enemy_character_type-30010025,,,,38,
10026,4,enemy_character_type-20010026,军方连射装甲,Cerynitis,680,126,60,0,6,30,1,180,0,90,0,30,0,99999,0,0,100,enemy_character_type-10010026,0,300301,"200303,200304,119019",0.87,,,,1,enemy_character_type-30010026,,,,41,
10027,4,enemy_character_type-20010027,军方重型火力,Hydra,9000,280,55,0,4,20,1,180,0,199,0,42,0,99999,0,0,100,enemy_character_type-10010027,0,402601,"200303,200304,402602,119020",1.17,,,,1,enemy_character_type-30010027,,,,39,
10028,5,enemy_character_type-20010028,军方重甲人形,Aegis_GA,2325,11,18,0,3,35,1,180,0,90,0,40,0,99999,0,0,100,enemy_character_type-10010028,0,300316,"200303,200304",1.17,,,,1,enemy_character_type-30010028,,,,40,
10029,3,enemy_character_type-20010029,梦魇,unknown,924,21,23,15,2,20,1,180,0,0,0,40,0,99999,0,0,100,enemy_character_type-10010029,0,300316,200304,0.6,,,,1,enemy_character_type-30010029,,,,36,
10030,4,enemy_character_type-20010030,电磁炮I,Typhon,18000,100,350,0,20,35,1,180,0,90,0,350,0,99999,0,0,10100,enemy_character_type-10010030,0,900107,"200303,403001,403006,119019,755000",0.06,,,,0.8,enemy_character_type-30010030,,,,43,
10031,4,enemy_character_type-20010031,电磁炮II,Typhon,18000,100,350,0,20,35,1,180,0,90,0,350,0,99999,0,0,10100,enemy_character_type-10010031,0,900107,"200303,403009,403014,119019,755000",0.06,,,,0.8,enemy_character_type-30010031,,,,43,
10032,4,enemy_character_type-20010032,电磁炮III,Typhon,18000,100,350,0,20,35,1,180,0,90,0,350,0,99999,0,0,10100,enemy_character_type-10010032,0,900107,"200303,403017,403022,119019,755000",0.06,,,,0.8,enemy_character_type-30010032,,,,43,
10033,4,enemy_character_type-20010033,蜘蛛雷,Dactyl,800,100,100,0,20,40,1,180,0,20,0,150,0,99999,0,0,100,enemy_character_type-10010033,0,900107,"200303,403101",0.25,221,"133,135,136,137,3918,8034",,1,enemy_character_type-30010033,,,,42,
10034,3,enemy_character_type-20010034,射击士,Strelet,1050,12,20,15,6,35,1,180,0,0,0,40,0,99999,0,0,100,enemy_character_type-10010034,0,300313,200304,0.75,,,,1,enemy_character_type-30010034,,,,46,
10035,3,enemy_character_type-20010035,剑盾士,Rodelero,5600,25,40,20,7,35,1,180,0,40,0,15,0,300,0,0,100,enemy_character_type-10010035,0,404002,"200303,200304",1.04,221,"133,135,136,137,3918,8034",,1,enemy_character_type-30010035,,,,47,
10036,3,enemy_character_type-20010036,巨剑士,Doppelsoldner,9200,18,36,0,6,20,1,180,0,90,0,35,0,500,0,0,100,enemy_character_type-10010036,0,404001,"200303,404024,200304,119019",1.21,221,"133,135,136,137,3918,8034",,0.8,enemy_character_type-30010036,,,,48,
10037,3,enemy_character_type-20010037,远程僵尸,Zombie2,720,26,30,13,5,30,1,180,0,0,0,30,0,99999,0,0,100,enemy_character_type-10010037,0,300317,200304,0.75,,,,1,enemy_character_type-30010037,,,,52,
10038,3,enemy_character_type-20010038,近战僵尸,Zombie1,1260,7,60,3,3,30,1,180,0,0,0,90,0,99999,0,0,100,enemy_character_type-10010038,0,300316,200304,0.6,,,,1,enemy_character_type-30010038,,,,53,
10039,4,enemy_character_type-20010039,坦克,Uhlan,8200,48,90,0,7,35,1,180,0,90,0,30,0,600,0,0,100,enemy_character_type-10010039,0,404003,"200303,404004,404007,755000",1.16,221,"133,135,136,137,3918,8034",,0.8,enemy_character_type-30010039,,,,49,
10040,3,enemy_character_type-20010040,剑盾士,Rodelero,3500,27,40,15,7,35,1,180,0,40,0,15,0,600,0,0,100,enemy_character_type-10010040,0,404002,"200303,200304",1.04,221,"133,135,136,137,3918,8034",,1,enemy_character_type-30010040,,,,47,
10041,3,enemy_character_type-20010041,巨剑士,Doppelsoldner,9800,12,36,10,6,20,1,180,0,150,0,30,0,2250,0,0,100,enemy_character_type-10010041,0,404001,"200303,404024,200304,119019",1.38,221,"133,135,136,137,3918,8034",,0.8,enemy_character_type-30010041,,,,48,
10042,4,enemy_character_type-20010042,坦克-新,Uhlan,28000,35,90,10,7,35,1,180,0,150,0,30,0,3750,0,0,100,enemy_character_type-10010042,0,404003,"200303,404004,404007,755000",1.38,221,"133,135,136,137,3918,8034",,0.8,enemy_character_type-30010042,,,,49,
10043,3,enemy_character_type-20010043,射击士,Strelet,950,8,15,35,5,30,1,180,0,0,0,40,0,500,0,0,100,enemy_character_type-10010043,0,300313,200304,0.75,,,,1,enemy_character_type-30010043,,,,46,
10044,3,enemy_character_type-20010044,酗酒的龙骑兵,Dragoon_SWAP,1588,42,140,15,4,50,1,180,0,0,0,40,0,99999,0,0,30100,enemy_character_type-10010044,0,711001,"711002,200304,711003,711004,711005,711006,711103,119019",1,,,,1,enemy_character_type-30010044,,,,58,
10045,3,enemy_character_type-20010045,酗酒的巨剑士,Doppelsoldner,9800,12,36,10,6,20,1,180,0,150,0,30,0,2250,0,0,100,enemy_character_type-10010045,0,711101,"200303,711102,200304,711103,711003,711004,711005,711006,711002,119019",1.38,221,"133,135,136,137,3918,8034",,0.8,enemy_character_type-30010045,,,,48,
10046,4,enemy_character_type-20010046,强无敌19夏活加强版,Manticore,12000,120,55,0,5,30,1,180,0,60,0,42,0,99999,0,0,100,enemy_character_type-10010046,0,300301,"200303,200304,119019",1.09,,,,1,enemy_character_type-30010046,,,,16,
10047,4,enemy_character_type-20010047,绿无敌19夏活加强版,Hydra,15000,350,55,0,4,20,1,180,0,199,0,42,0,99999,0,0,100,enemy_character_type-10010047,0,402601,"200303,200304,402602,119020",1.25,,,,1,enemy_character_type-30010047,,,,39,
10048,3,enemy_character_type-20010048,高达19夏活加强版,Doppelsoldner,15000,18,36,10,6,20,1,180,0,150,0,30,0,2250,0,0,100,enemy_character_type-10010048,0,404001,"200303,404024,200304,119019",1.38,221,"133,135,136,137,3918,8034",,0.8,enemy_character_type-30010048,,,,48,
10049,4,enemy_character_type-20010049,坦克19夏活加强版,Uhlan,40000,50,90,10,7,35,1,180,0,150,0,30,0,3750,0,0,100,enemy_character_type-10010049,0,404003,"200303,404004,404007,755000",1.38,221,"133,135,136,137,3918,8034",,0.8,enemy_character_type-30010049,,,,49,
10050,5,enemy_character_type-20010050,磁暴步枪,TeslaTrooper,22000,46,46,10,2,30,1,180,0,150,0,20,0,99999,0,0,30100,enemy_character_type-10010050,0,403801,"200303,200304,403802,403803,200303,403903",1.74,221,"133,135,136,137,3918,8034",,1,enemy_character_type-30010050,,,,73,
10051,2,enemy_character_type-20010051,狗,Beast,3200,36,140,18,3,100,1,180,30,0,0,45,0,99999,0,0,30100,enemy_character_type-10010051,0,403901,"200304,403902,403903",0.7,,,,1,enemy_character_type-30010051,,,,72,
10052,3,enemy_character_type-20010052,猎手,Archer,1050,26,50,50,10,30,1,180,30,0,0,36,0,99999,0,0,30100,enemy_character_type-10010052,0,404401,"200303,200304,404402,404403,119019",1,,,,1,enemy_character_type-30010052,,,,71,
10053,2,enemy_character_type-20010053,兵工厂,RecceCentre,35000,10,15,10,15,0,1,180,0,150,0,25,0,99999,0,0,30100,enemy_character_type-10010053,0,900107,"200304,404501,404503,755000",1.41,221,,,1,enemy_character_type-30010053,,,,69,
10054,2,enemy_character_type-20010054,球,Pathfinder,180,10,150,150,3,18,1,180,0,45,0,50,0,99999,0,0,30100,enemy_character_type-10010054,0,300312,200304,0.84,,,,1,enemy_character_type-30010054,,,,70,
10055,3,enemy_character_type-20010055,白色前排,Roarer,26000,46,46,8,3,30,1,180,0,60,0,24,0,6000,0,0,30100,enemy_character_type-10010055,0,403701,"200303,200304,403702,403703,403704",1.12,221,"133,135,136,137,3918,8034",,1,enemy_character_type-30010055,,,,63,
10056,4,enemy_character_type-20010056,巨像,Thunder,36000,60,140,50,9,30,1,180,0,90,0,40,0,5000,0,0,30100,enemy_character_type-10010056,0,403503,"200303,403501,403502,403504,755000",1.93,221,"133,135,136,137,3918,8034",,1,enemy_character_type-30010056,,,,64,
10057,3,enemy_character_type-20010057,加强白色兵,StreletPlus,1350,46,46,50,7,25,1,180,0,0,0,30,0,1500,0,0,30100,enemy_character_type-10010057,0,300313,"200304,403601,119019",0.8,,,,1,enemy_character_type-30010057,,,,65,
10058,3,enemy_character_type-20010058,废弃异构体,Isomer,2000,10,10,50,20,25,1,180,0,0,0,50,0,500,0,0,30100,enemy_character_type-10010058,0,404601,200304,0.8,,,,1,enemy_character_type-30010058,,,,66,
10059,2,enemy_character_type-20010059,轨道炮L1炮,GustafL_1,15000,35,55,0,18,0,1,180,20,30,0,20,0,99999,0,0,30100,enemy_character_type-10010059,0,900107,"200304,405210,405201,755000",1.05,221,,,1,enemy_character_type-30010059,,,,74,"0.9,-1.2,3.32"
10061,2,enemy_character_type-20010061,轨道炮R1炮,GustafR_1,15000,35,55,0,18,0,1,180,20,30,0,20,0,99999,0,0,30100,enemy_character_type-10010061,0,900107,"200304,405210,405202,755000",1.05,221,,,1,enemy_character_type-30010061,,,,0,"0.4,-1.2,2.24"
10062,2,enemy_character_type-20010062,轨道炮L2机枪*2,GustafL_2,11500,30,20,0,18,0,1,180,20,30,0,50,0,99999,0,0,30100,enemy_character_type-10010062,0,405206,"200304,405210,405207,405213,755000",1.05,221,,,1,enemy_character_type-30010062,,,,75,"-0.59,0,-0.36"
10063,2,enemy_character_type-20010063,轨道炮R2机枪*2,GustafR_2,11500,30,20,0,18,0,1,180,20,30,0,50,0,99999,0,0,30100,enemy_character_type-10010063,0,405206,"200304,405210,405207,405213,755000",1.05,221,,,1,enemy_character_type-30010063,,,,0,"0.12,0, 0.79"
10064,2,enemy_character_type-20010064,轨道炮L3炮,GustafL_3,13500,35,55,0,18,0,1,180,20,30,0,50,0,99999,0,0,30100,enemy_character_type-10010064,0,900107,"200304,405210,405201,755000",1.05,221,,,1,enemy_character_type-30010064,,,,76,"0.54,0,0"
10065,2,enemy_character_type-20010065,轨道炮R3炮,GustafR_3,13500,35,55,0,18,0,1,180,20,30,0,50,0,99999,0,0,30100,enemy_character_type-10010065,0,900107,"200304,405210,405202,755000",1.05,221,,,1,enemy_character_type-30010065,,,,0,"0.23,0,0.58"
10066,2,enemy_character_type-20010066,炮台Pyxis,Pyxis,22000,46,46,0,15,0,1,180,0,30,0,80,0,99999,0,0,30100,enemy_character_type-10010066,0,405101,"200304,405102,755000",0.79,,,,1,enemy_character_type-30010066,,,,67,
10067,3,enemy_character_type-20010067,远程僵尸Plus150,Zombie2,1680,30,32,17,5,30,1,180,0,0,0,30,0,99999,0,0,100,enemy_character_type-10010067,0,300317,200304,0.75,,,,1,enemy_character_type-30010067,,,,52,
10068,3,enemy_character_type-20010068,近战僵尸Plus150,Zombie1,2940,8,61,5,3,30,1,180,0,0,0,90,0,99999,0,0,100,enemy_character_type-10010068,0,300316,200304,0.6,,,,1,enemy_character_type-30010068,,,,53,
10070,2,enemy_character_type-20010070,圣诞兵蚁,Dinergate_chm1,65,84,140,0,3,45,1,180,0,0,0,40,0,99999,0,0,100,enemy_character_type-10010070,0,300316,200304,0.07,,,,1,enemy_character_type-30010070,,,,106,
10071,3,enemy_character_type-20010071,20冬新怪-刀盾手,Kratos,32000,80,90,5,3,28,1,180,0,90,0,35,0,99999,0,0,100,enemy_character_type-10010071,0,900460,"900461,900464,900463",0.95,221,"133,135,136,137,3918,8034",,0.8,enemy_character_type-30010071,,,,77,
10072,2,enemy_character_type-20010072,20冬新怪-发生器,Acheron,3000,20,20,20,20,0,1,180,0,30,0,20,0,99999,0,0,100,enemy_character_type-10010072,0,900107,"900465,755000",1.58,,,,1,enemy_character_type-30010072,,,,78,
10073,2,enemy_character_type-20010073,20冬新怪-坦克,Coeus,16000,60,140,15,20,35,1,180,0,60,0,35,0,99999,0,0,100,enemy_character_type-10010073,0,900107,"900478,900479,900480,119019,755000",1.11,,,,1,enemy_character_type-30010073,,,,79,
10074,3,enemy_character_type-20010074,游民暴徒,Mobster,1260,26,30,12,5,60,1,180,0,0,0,30,0,99999,0,0,30100,enemy_character_type-10010074,0,902266,"902265,902267,902268,200304",1.2,,,,1,enemy_character_type-30010074,,,,114,
10075,3,enemy_character_type-20010075,秘密警察,Plaincloth,19200,46,80,32,6,30,1,180,0,0,0,40,0,99999,0,0,30100,enemy_character_type-10010075,0,902264,"902260,902262,902263",1,,,,1,enemy_character_type-30010075,,,,113,
10076,3,enemy_character_type-20010076,白色近战（多编）,Punish,2800,16,46,15,3,25,1,180,0,0,0,30,0,2500,0,0,30100,enemy_character_type-10010076,0,902271,"200304,902269,902270",0.8,,,,1,enemy_character_type-30010076,,,,115,
10077,2,enemy_character_type-20010077,白色干扰（单编）,Visjnoe,23000,100,140,26,8,30,1,180,0,0,0,40,0,5000,0,0,30100,enemy_character_type-10010077,0,900107,"200304,902272,902273,119020",1.6,221,"133,135,136,137,3918,8034",,1,enemy_character_type-30010077,,,,117,
10078,2,enemy_character_type-20010078,白色激光炮（单编）,Cherub,18000,26,90,52,7,35,1,180,0,0,0,15,0,3500,0,0,100,enemy_character_type-10010078,0,902274,"200304,119019",0.97,221,"133,135,136,137,3918,8034",,1,enemy_character_type-30010078,,,,116,
10079,3,enemy_character_type-20010079,白色前排-新,Roarer_New,42000,46,46,10,3,30,1,180,0,90,0,24,0,6000,0,0,30100,enemy_character_type-10010079,0,403701,"200303,200304,403702,403703,403704",1.21,221,"133,135,136,137,3918,8034",,1,enemy_character_type-30010079,,,,118,
10080,4,enemy_character_type-20010080,巨像-新,Thunder_New,55000,60,180,50,9,30,1,180,0,130,0,60,0,5000,0,0,30100,enemy_character_type-10010080,0,403503,"200303,403501,403502,403504,755000",2.19,221,"133,135,136,137,3918,8034",,1,enemy_character_type-30010080,,,,119,
10081,3,enemy_character_type-20010081,加强白色兵-新,Soldier_New,1950,46,72,50,7,25,1,180,0,0,0,40,0,1500,0,0,30100,enemy_character_type-10010081,0,300313,"200304,403601,119019",0.8,,,,1,enemy_character_type-30010081,,,,120,
10082,3,enemy_character_type-20010082,黑发保镖(多编),guard_katsura,794,8,20,20,6,30,1,180,0,0,0,50,0,99999,0,0,100,enemy_character_type-10010082,0,755049,200304,1,,,,1,enemy_character_type-30010082,,,,127,
10083,3,enemy_character_type-20010083,光头保镖(多编强敌),guard_bald,19200,199,160,100,6,30,1,180,0,0,0,60,0,99999,0,0,100,enemy_character_type-10010083,0,755049,,1,221,,,1,enemy_character_type-30010083,,,,128,
10084,3,enemy_character_type-20010084,巨神兵小兵（）,Obelisk_partB,1950,46,72,50,7,25,1,180,0,0,0,40,0,1500,0,0,30100,enemy_character_type-10010084,0,755057,"755058,119020",0.8,,,,1,enemy_character_type-30010084,,,,129,
10085,2,enemy_character_type-20010085,巨神兵无炮管形态（）,Obelisk_partA,18000,26,90,52,7,35,1,180,0,0,0,15,0,3500,0,0,100,enemy_character_type-10010085,0,755051,755056,0.97,221,"133,135,136,137,3918,8034",,1,enemy_character_type-30010085,,,,130,
10086,3,enemy_character_type-20010086,白教警备士(多编),Riotguard,3550,10,26,12,3,30,1,180,0,0,0,32,0,2500,0,0,30100,enemy_character_type-10010086,0,755031,"755032,755050,200304,755053",1,221,"133,135,136,137,3918,8034",,1,enemy_character_type-30010086,,,,131,
10087,5,enemy_character_type-20010087,白教机甲士(高甲多编),Metalmax,2100,16,100,0,3,30,1,180,0,345,0,25,0,2500,0,0,30100,enemy_character_type-10010087,0,755029,"755030,200304",0.41,,,,1,enemy_character_type-30010087,,,,132,
10088,5,enemy_character_type-20010088,白教行刑官(低甲单编),Executioner,60000,42,55,0,3,30,1,180,0,30,0,30,0,6000,0,0,30100,enemy_character_type-10010088,0,755042,"755043,755044,755045,755046,200304",1.05,221,"133,135,136,137,3918,8034",,1,enemy_character_type-30010088,,,,133,
10089,3,enemy_character_type-20010089,白教掷弹士(单编),Grenadier,22000,58,65,32,7,30,1,180,0,0,0,40,0,4000,0,0,30100,enemy_character_type-10010089,0,755039,"755040,755041,755048,200304,119019",1,221,"133,135,136,137,3918,8034",,1,enemy_character_type-30010089,,,,134,
10090,5,enemy_character_type-20010090,白教指挥士(低甲单编),Mastersergeant,16000,140,120,28,6,30,1,180,0,50,0,50,0,5000,0,0,30100,enemy_character_type-10010090,0,755034,"755033,755035,755037,755038,119020",1.08,221,"133,135,136,137,3918,8034",,1,enemy_character_type-30010090,,,,135,
10091,3,enemy_character_type-20010091,普通黑涅托（双冲锋枪）,Nyto_Black_SMG,2200,18,26,90,4,30,1,180,0,0,0,60,0,1500,0,0,30100,enemy_character_type-10010091,0,407003,"407001,407002,407004,407005,407302",1,221,"133,135,136,137,3918,8034",,1,enemy_character_type-30010091,,,,148,
10092,2,enemy_character_type-20010092,普通黑涅托（双手大锤）,Nyto_Black_Hammer,2600,22,18,5,3,30,1,180,0,30,0,24,0,1500,0,0,30100,enemy_character_type-10010092,0,407101,"407102,407302",0.7,221,"133,135,136,137,3918,8034",,1,enemy_character_type-30010092,,,,149,
10093,2,enemy_character_type-20010093,普通黑涅托（AR/RF）,Nyto_Black_RF,720,52,90,18,9,20,1,180,35,0,0,26,0,1500,0,0,30100,enemy_character_type-10010093,0,407201,"407202,407203,407204,407205,119020,407302",1.4,221,"133,135,136,137,3918,8034",,1,enemy_character_type-30010093,,,,150,
10094,2,enemy_character_type-20010094,普通白涅托（显示屏）,Nyto_White_Commander,19200,46,80,32,6,30,1,180,0,0,0,18,0,5000,0,0,30100,enemy_character_type-10010094,0,407301,"407303,407304,407305,407306,119020,407302",0.82,221,"133,135,136,137,3918,8034",,1,enemy_character_type-30010094,,,,151,
10095,5,enemy_character_type-20010095,白教机械狗,Cerberus_White,2600,22,26,90,4,100,1,180,0,0,0,60,0,2500,0,0,30100,enemy_character_type-10010095,0,407501,"407502,407503,200304",1,,,,1,enemy_character_type-30010095,,,,152,
10096,3,enemy_character_type-20010096,苏联国安局特工,USSR_Agent,3200,18,18,5,3,30,1,180,0,0,0,40,0,99999,0,0,30100,enemy_character_type-10010096,0,902264,,1,221,"133,135,136,137,3918,8034",,1,enemy_character_type-30010096,,,,153,
11001,2,enemy_character_type-20011001,电饭煲,Prowler_SWAP,360,12,46,32,5,40,1,180,0,0,0,36,0,99999,0,0,30100,enemy_character_type-10011001,0,300317,200304,1,,,,1,enemy_character_type-30011001,,,,55,
11002,2,enemy_character_type-20011002,侦察机,Scouts,960,12,28,80,5,50,1,180,0,0,0,24,0,99999,0,0,30100,enemy_character_type-10011002,0,300312,200304,0.8,,,,1,enemy_character_type-30011002,,,,3,
11003,2,enemy_character_type-20011003,侦察犬,Dinergate,65,84,140,0,3,60,1,180,0,0,0,24,0,99999,0,0,30100,enemy_character_type-10011003,0,300316,200304,0.07,,,,1,enemy_character_type-30011003,,,,6,
11004,3,enemy_character_type-20011004,铁血人形,Ripper,1140,12,46,50,5,40,1,180,0,0,0,36,0,99999,0,0,30100,enemy_character_type-10011004,0,300317,200304,1,,,,1,enemy_character_type-30011004,,,,4,
11005,3,enemy_character_type-20011005,铁血突击,Vespid,960,22,70,32,7,40,1,180,0,0,0,24,0,99999,0,0,30100,enemy_character_type-10011005,0,300313,200304,1,,,,1,enemy_character_type-30011005,,,,7,
11006,3,enemy_character_type-20011006,铁血狙击,Jaeger_SWAP,600,46,140,18,9,30,1,180,35,0,0,18,0,99999,0,0,30100,enemy_character_type-10011006,0,300301,"200304,310101,119019",1,,,,1,enemy_character_type-30011006,,,,56,
11007,3,enemy_character_type-20011007,铁血持盾,Guard_SWAP,2535,12,28,8,3,30,1,180,0,0,0,24,0,99999,0,0,30100,enemy_character_type-10011007,0,310202,"200304,310201",0.6,,,,1,enemy_character_type-30011007,,,,57,
11008,3,enemy_character_type-20011008,铁血骑兵,Dragoon_SWAP,1500,26,140,18,20,60,1,180,0,0,0,28,0,99999,0,0,30100,enemy_character_type-10011008,0,300318,"200304,310301,310302,119019",1,,,,1,enemy_character_type-30011008,,,,58,
11011,5,enemy_character_type-20011011,铁血重甲,Aegis_SWAP,2305,12,28,0,3,30,1,180,35,145,0,28,0,99999,0,0,30100,enemy_character_type-10011011,0,310202,"200304,310201",2.4,,,,1,enemy_character_type-30011011,,,,60,
11012,3,enemy_character_type-20011012,铁血机枪,Striker_SWAP,1140,26,28,18,7,35,1,180,35,0,0,80,0,99999,0,0,30100,enemy_character_type-10011012,0,300322,200304,1,,,,1,enemy_character_type-30011012,,,,59,
11014,4,enemy_character_type-20011014,测试重装单位,Nemeum,680,42,16,0,5,30,1,180,0,90,0,24,0,99999,0,0,30100,enemy_character_type-10011014,0,310202,"200304,310201",1.36,,,,1,enemy_character_type-30011014,,,,14,
11015,5,enemy_character_type-20011015,夜战专用重装人形*3,Aegis,1920,12,28,0,3,30,1,180,35,145,0,28,0,99999,0,0,30100,enemy_character_type-10011015,0,310202,"200304,310201",2.38,,,,1,enemy_character_type-30011015,,,,15,
11016,4,enemy_character_type-20011016,夜战专用输出,Nemeum,1320,46,140,0,7,35,1,180,50,60,0,18,0,99999,0,0,30100,enemy_character_type-10011016,0,300315,"200303,200304",1.24,,,,1,enemy_character_type-30011016,,,,14,
11017,3,enemy_character_type-20011017,铁血双刀,Brute,960,58,70,18,3,50,1,180,35,0,0,18,0,99999,0,0,30100,enemy_character_type-10011017,0,300316,200304,1.2,,,,1,enemy_character_type-30011017,,,,28,
11018,4,enemy_character_type-20011018,装甲侦查犬,Tarantula,65,84,140,0,3,60,1,180,0,100,0,24,0,99999,0,0,30100,enemy_character_type-10011018,0,300316,"200303,200304",0.25,,,,1,enemy_character_type-30011018,,,,30,
