id,name,des,power,recommend_power,enemy_team_id,log_fitter_id,log_fitter_name,code
20109,mission_targettrain_enemy-10020109,mission_targettrain_enemy-20020109,3000,3000,950041,209,mission_targettrain_enemy-30020109,Targettrain_950041
20201,mission_targettrain_enemy-10020201,mission_targettrain_enemy-20020201,3000,3000,950002,201,mission_targettrain_enemy-30020201,Targettrain_950002
20202,mission_targettrain_enemy-10020202,mission_targettrain_enemy-20020202,3000,3000,950007,202,mission_targettrain_enemy-30020202,Targettrain_950007
20203,mission_targettrain_enemy-10020203,mission_targettrain_enemy-20020203,3000,3000,950012,203,mission_targettrain_enemy-30020203,Targettrain_950012
20204,mission_targettrain_enemy-10020204,mission_targettrain_enemy-20020204,3000,3000,950017,204,mission_targettrain_enemy-30020204,Targettrain_950017
20205,mission_targettrain_enemy-10020205,mission_targettrain_enemy-20020205,3000,3000,950022,205,mission_targettrain_enemy-30020205,Targettrain_950022
20206,mission_targettrain_enemy-10020206,mission_targettrain_enemy-20020206,3000,3000,950027,206,mission_targettrain_enemy-30020206,Targettrain_950027
20207,mission_targettrain_enemy-10020207,mission_targettrain_enemy-20020207,3000,3000,950032,207,mission_targettrain_enemy-30020207,Targettrain_950032
20208,mission_targettrain_enemy-10020208,mission_targettrain_enemy-20020208,3000,3000,950037,208,mission_targettrain_enemy-30020208,Targettrain_950037
20209,mission_targettrain_enemy-10020209,mission_targettrain_enemy-20020209,3000,3000,950042,209,mission_targettrain_enemy-30020209,Targettrain_950042
20301,mission_targettrain_enemy-10020301,mission_targettrain_enemy-20020301,3000,3000,950003,201,mission_targettrain_enemy-30020301,Targettrain_950003
20302,mission_targettrain_enemy-10020302,mission_targettrain_enemy-20020302,3000,3000,950008,202,mission_targettrain_enemy-30020302,Targettrain_950008
20303,mission_targettrain_enemy-10020303,mission_targettrain_enemy-20020303,3000,3000,950013,203,mission_targettrain_enemy-30020303,Targettrain_950013
20304,mission_targettrain_enemy-10020304,mission_targettrain_enemy-20020304,3000,3000,950018,204,mission_targettrain_enemy-30020304,Targettrain_950018
20305,mission_targettrain_enemy-10020305,mission_targettrain_enemy-20020305,3000,3000,950023,205,mission_targettrain_enemy-30020305,Targettrain_950023
20306,mission_targettrain_enemy-10020306,mission_targettrain_enemy-20020306,3000,3000,950028,206,mission_targettrain_enemy-30020306,Targettrain_950028
20307,mission_targettrain_enemy-10020307,mission_targettrain_enemy-20020307,3000,3000,950033,207,mission_targettrain_enemy-30020307,Targettrain_950033
20308,mission_targettrain_enemy-10020308,mission_targettrain_enemy-20020308,3000,3000,950038,208,mission_targettrain_enemy-30020308,Targettrain_950038
20309,mission_targettrain_enemy-10020309,mission_targettrain_enemy-20020309,3000,3000,950043,209,mission_targettrain_enemy-30020309,Targettrain_950043
20401,mission_targettrain_enemy-10020401,mission_targettrain_enemy-20020401,3000,3000,950004,201,mission_targettrain_enemy-30020401,Targettrain_950004
20402,mission_targettrain_enemy-10020402,mission_targettrain_enemy-20020402,3000,3000,950009,202,mission_targettrain_enemy-30020402,Targettrain_950009
20403,mission_targettrain_enemy-10020403,mission_targettrain_enemy-20020403,3000,3000,950014,203,mission_targettrain_enemy-30020403,Targettrain_950014
20404,mission_targettrain_enemy-10020404,mission_targettrain_enemy-20020404,3000,3000,950019,204,mission_targettrain_enemy-30020404,Targettrain_950019
20405,mission_targettrain_enemy-10020405,mission_targettrain_enemy-20020405,3000,3000,950024,205,mission_targettrain_enemy-30020405,Targettrain_950024
20406,mission_targettrain_enemy-10020406,mission_targettrain_enemy-20020406,3000,3000,950029,206,mission_targettrain_enemy-30020406,Targettrain_950029
20407,mission_targettrain_enemy-10020407,mission_targettrain_enemy-20020407,3000,3000,950034,207,mission_targettrain_enemy-30020407,Targettrain_950034
20408,mission_targettrain_enemy-10020408,mission_targettrain_enemy-20020408,3000,3000,950039,208,mission_targettrain_enemy-30020408,Targettrain_950039
20409,mission_targettrain_enemy-10020409,mission_targettrain_enemy-20020409,3000,3000,950044,209,mission_targettrain_enemy-30020409,Targettrain_950044
20501,mission_targettrain_enemy-10020501,mission_targettrain_enemy-20020501,3000,3000,950005,201,mission_targettrain_enemy-30020501,Targettrain_950005
20502,mission_targettrain_enemy-10020502,mission_targettrain_enemy-20020502,3000,3000,950010,202,mission_targettrain_enemy-30020502,Targettrain_950010
20503,mission_targettrain_enemy-10020503,mission_targettrain_enemy-20020503,3000,3000,950015,203,mission_targettrain_enemy-30020503,Targettrain_950015
20504,mission_targettrain_enemy-10020504,mission_targettrain_enemy-20020504,3000,3000,950020,204,mission_targettrain_enemy-30020504,Targettrain_950020
20505,mission_targettrain_enemy-10020505,mission_targettrain_enemy-20020505,3000,3000,950025,205,mission_targettrain_enemy-30020505,Targettrain_950025
20506,mission_targettrain_enemy-10020506,mission_targettrain_enemy-20020506,3000,3000,950030,206,mission_targettrain_enemy-30020506,Targettrain_950030
20507,mission_targettrain_enemy-10020507,mission_targettrain_enemy-20020507,3000,3000,950035,207,mission_targettrain_enemy-30020507,Targettrain_950035
20508,mission_targettrain_enemy-10020508,mission_targettrain_enemy-20020508,3000,3000,950040,208,mission_targettrain_enemy-30020508,Targettrain_950040
20509,mission_targettrain_enemy-10020509,mission_targettrain_enemy-20020509,3000,3000,950045,209,mission_targettrain_enemy-30020509,Targettrain_950045
